CODM;RAZAO_SOCIAL;CNPJ;NATUREZA;COD_IES;INSTITUICAO;SIGLA;TELEGONE;SITE;EMAIL;ENDERECO;CIDADE;UF;TIPO;TIPO2;CATEGOORIA;CATEGORIA2;DATA1;CT;ANO_CT;CT_EAD;ANO_EAD;IGC;ANO2;OBS;RLEGAL;OBS3;STIUACAO
3575;ITPAC PORTO NACIONAL - INSTITUTO TOCANTINENSE PRESIDENTE ANTONIO CARLOS PORTO S.A.;10.261.569/0001-64;Privada com fins lucrativos;25307;AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE ABAETETUBA (AFYA ABAETETUBA);AFYA ABAETETUBA;9140423005;www.abaetetuba.afya.com.br;alvaro.pinto@afya.com.br;ROD DR. JOAO MIRANDA - S/N - CEP: 68440-000 - BOSQUE;Abaetetuba;PA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;18/02/2022;-;;-;;-;;;;;Ativa
3575;ITPAC PORTO NACIONAL - INSTITUTO TOCANTINENSE PRESIDENTE ANTONIO CARLOS PORTO S.A.;10.261.569/0001-64;Privada com fins lucrativos;25261;AFYA Faculdade de Ciências Médicas de Bragança (AFYA Bragança);AFYA Bragança;(91) 2992-0990;www.braganca.itpac.br;luiz.pereira@afya.com.br;ROD RODOVIA BRAGANCA CAPANEMA AVENIDA MENDONCA FURTADO - S/N - CEP: 68600-000 - VILA NOVA;Bragança;PA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;11/03/2022;-;;-;;-;;;;;Ativa
1336;ITPAC INSTITUTO TOCANTINENSE PRESIDENTE ANTONIO CARLOS S.A;02.941.990/0001-98;Privada com fins lucrativos;24547;Afya Faculdade de Ciências Médicas de Cruzeiro do Sul (AFYA CRUZEIRO DO SUL);AFYA CRUZEIRO DO SUL;68 3321-2321;https://cruzeirodosul.afya.com.br/;luiz.pereira@afya.edu.br;AV 25 DE AGOSTO - S/N - CEP: 69980-000 - 25 DE AGOSTO;Cruzeiro do Sul;AC;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;24/12/2020;5;2024;-;;-;;;;;Ativa
1336;ITPAC INSTITUTO TOCANTINENSE PRESIDENTE ANTONIO CARLOS S.A;02.941.990/0001-98;Privada com fins lucrativos;5580;Afya Faculdade de Ciências Médicas de Garanhuns (Sub Judice) (AFYA GARANHUNS);AFYA GARANHUNS;(81) 4040-4242;https://garanhuns.afya.com.br/;adriene.jacinto@afya.com.br gabriele.duraes@afya.com.br luiz.pereira@afya.com.br;Avenida General Costa e Silva - 06 - CEP: 55297-130 - Novo Heliópolis;Garanhuns;PE;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;13/11/2007;4;2023;-;;-;;;;;Ativa
1040;SOCIEDADE PADRAO DE EDUCACAO SUPERIOR LTDA;03.273.660/0001-34;Privada com fins lucrativos;22104;Afya Faculdade de Ciências Médicas de Guanambi (Afya Guanambi);Afya Guanambi;75 3199-9205;https://guanambi.afya.com.br/;larissa.lessa@afya.com.br;Avenida Prisco Viana - 215 - CEP: 46430-000 - Santa Catarina;Guanambi;BA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;03/08/2018;4;2023;-;;4;2023;;;;Ativa
1095;UNIVACO - UNIAO EDUCACIONAL DO VALE DO ACO S.A.;01.757.902/0001-30;Privada com fins lucrativos;1669;Afya Faculdade de Ciências Médicas de Ipatinga (AFYA IPATINGA);AFYA IPATINGA;(31) 2109 0900;www.ipatinga.afya.com.br;ipatinga.afya@afya.com.br;Rua João Patrício Araújo - 179 - CEP: 35164-251 - Veneza;Ipatinga;MG;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;23/03/2001;5;2023;-;;3;2023;;;;Ativa
1264;INSTITUTO EDUCACIONAL SANTO AGOSTINHO S.A.;03.735.981/0001-03;Privada com fins lucrativos;22088;Afya Faculdade de Ciências Médicas de Itabuna (AFYA ITABUNA);AFYA ITABUNA;7331989920;https://itabuna.afya.com.br/;diretoria@itabuna.fasa.edu.br itana.silva@afya.com.br luciano.tourinho@afya.com.br;Avenida Ibicaraí - 3270 - CEP: 45611-000 - Nova Itabuna;Itabuna;BA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;15/05/2018;5;2022;-;;3;2023;;;;Ativa
1050;IPTAN - INSTITUTO DE ENSINO SUPERIOR PRESIDENTE TANCREDO DE ALMEIDA NEVES S.A.;03.219.494/0001-98;Privada com fins lucrativos;24548;Afya Faculdade de Ciências Médicas de Itacoatiara (AFYA ITACOATIARA);AFYA ITACOATIARA;923878-3788/9291571021;www.itacoatiara.afya.com.br;faculdadedemedicina.fcmitacoatiara@afya.com.br;Rodovia AM 010 - 2705 - CEP: 69100-600 - Poranga;Itacoatiara;AM;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;18/02/2022;-;;-;;-;;;;;Ativa
759;SOCIEDADE EDUCACIONAL E CULTURAL SERGIPE DEL REY LTDA;32.728.800/0001-10;Privada com fins lucrativos;22514;Afya Faculdade de Ciências Médicas de Jaboatão dos Guararapes (AFYA JABOATÃO);AFYA JABOATÃO;(81) 996689915;https://jaboatao.afya.com.br/;vanessa.piasson@afya.com.br;Avenida General Barreto de Menezes - 738 - CEP: 54330-000 - Cajueiro Seco - Piedade;Jaboatão dos Guararapes;PE;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;09/02/2018;5;2022;-;;3;2023;;;;Ativa
1336;ITPAC INSTITUTO TOCANTINENSE PRESIDENTE ANTONIO CARLOS S.A;02.941.990/0001-98;Privada com fins lucrativos;24551;Afya Faculdade de Ciências Médicas de Manacapuru (AFYA MANACAPURU);AFYA MANACAPURU;92 3878-3785;www.itpacmanacapuru.afya.com.br;luiz.pereira@afya.com.br;ESTRADA DO SESC - SN - CEP: 69400-970 - MANACAPURU;Manacapuru;AM;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;11/03/2022;-;;-;;-;;;;;Ativa
15521;ITPAC INSTITUTO TOCANTINENSE PRESIDENTE ANTONIO CARLOS S.A;02.941.990/0006-00;Privada com fins lucrativos;16728;AFYA Faculdade de Ciências Médicas de Palmas (AFYA PALMAS);AFYA PALMAS;(63)3216 6300;www.palmas.afya.com.br;rudinei.spada@afya.com.br;AV. NS 01 LT 03 ACSU SO 70 - s/n - CEP: 77017-004 - Plano Diretor Sul;Palmas;TO;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;25/11/2005;5;2019;-;;3;2023;;;;Ativa
1050;IPTAN - INSTITUTO DE ENSINO SUPERIOR PRESIDENTE TANCREDO DE ALMEIDA NEVES S.A.;03.219.494/0001-98;Privada com fins lucrativos;24550;AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE SANTA INÊS (AFYA SANTA INÊS);AFYA SANTA INÊS;;https://santaines.afya.com.br/;luiz.pereira@afya.com.br;CONTORNO DA BR 316 - 346 - CEP: 65304-770 - VILA OLIMPICA;Santa Inês;MA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;30/09/2020;5;2024;-;;-;;;;;Ativa
1707;ASSOCIACAO JUINENSE DE ENSINO SUPERIOR DO VALE DO JURUENA-AJES;05.053.243/0001-01;Privada sem fins lucrativos;2629;AJES - FACULDADE DO VALE DO JURUENA (AJES);AJES;(66) 3566-1875;http://www.ajes.edu.br;clodis@ajes.edu.brgtomasini@ajes.edu.brsandro.emec@outlook.com;Avenida Gabriel Müller - s/n - CEP: 78320-000 - Módulo I;Juína;MT;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;15/04/2005;4;2024;-;;3;2023;;;;Ativa
2371;INSTITUTO EDUCACIONAL ALFAUNIPAC S.A.;05.598.350/0001-15;Privada com fins lucrativos;23331;ALFA - Faculdade de Teófilo Otoni (ALFA - TO);ALFA - TO;;www.faculdadealfa.com.br;patriciahalves@yahoo.com.br;Rua Engenheiro Celso Murta - 600 - CEP: 39803-087 - Doutor Laerte Laender;Teófilo Otoni;MG;Faculdade;EAD - Superior /;Privada;Privada com fins lucrativos;22/11/2021;-;;4;2019;-;;;;;Ativa
18553;ATC - ESCOLA DE AVIACAO CIVIL LTDA;23.903.893/0001-80;Privada com fins lucrativos;28893;ATC - Faculdade de Aviação Civil (AFAC);AFAC;;https://atctreinamento.com.br/;contato@atctreinamento.com.br;Rua Salvador Cabral - 345 - CEP: 08770-320 - Centro;Mogi das Cruzes;SP;Faculdade;EAD - Superior /;Privada;Privada com fins lucrativos;28/02/2025;-;;4;2024;-;;;;;Ativa
18519;REAL E BENEMERITA ASSOCIACAO PORTUGUESA DE BENEFICENCIA;61.599.908/0001-58;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;28548;BP Educação - Ensino Superior em Saúde (BPE - ESS);BPE - ESS;(11) 3505-5266;https://educacaoepesquisa.bp.org.br/;educacao@bp.org.br;Rua Maestro Cardim 769 - 769 - CEP: 01323-900 - Bela Vista;São Paulo;SP;Faculdade;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;09/05/2024;4;2023;4;2023;-;;;;;Ativa
17026;BRAIN EDUCACAO LTDA;28.929.707/0001-04;Privada com fins lucrativos;23139;BRAIN BUSINESS SCHOOL (BRAIN);BRAIN;;;ricardo.mollo@brainpartners.com.br;Rua Baumann - 73 - CEP: 05318-000 - Vila Leopoldina;São Paulo;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;06/11/2019;4;2019;4;2024;-;;;;Em supervisão - Procedimento Sancionador sem Medida Cautelar;Ativa
18098;FACULDADE CENAC EIRELI;37.669.599/0001-60;Privada com fins lucrativos;25907;CENAC - Centro de Ensino Nacional;-;;;contato@faculdadecenac.com.br;Avenida Deputado Aureo Ferreira - 889 - CEP: 15503-415 - Vila Recanto das Águas;Votuporanga;SP;Faculdade;EAD - Superior /;Privada;Privada com fins lucrativos;15/12/2022;-;;3;2022;-;;;;Suspensão contrato FIES, Suspensão PROUNI;Ativa
17229;COMISSAO NACIONAL DE ENERGIA NUCLEAR;00.402.552/0001-26;Pessoa Jurídica de Direito Público - Federal;26249;CENTRO DE DESENVOLVIMENTO DA TECNOLOGIA NUCLEAR (CDTN);CDTN;(31) 3439-9561;https://www.cdtn.br/;lcdl@cdtn.br;Universidade Federal de Minas Gerais - SN - CEP: 31270-901 - Pampulha;Belo Horizonte;MG;Escola de Governo;Escola do Governo;Publica;Pública Federal;14/08/2025;4;2023;-;;-;;;;;Ativa
31;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS;17.319.831/0001-23;Pessoa Jurídica de Direito Público - Estadual;31;CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG (UTRAMIG);UTRAMIG;;www.utramig.mg.gov.br;cet.utramig@yahoo.com.br;Avenida Afonso Pena - 3400 - CEP: 30130-009 - CRUZEIRO;Belo Horizonte;MG;Faculdade;EAD - Superior / Presencial - Superior /;Publica;Pública Estadual;24/04/1973;-;;-;;-;;;;Suspensão contrato FIES, Suspensão PROUNI;Ativa
17401;FIEC FUNDACAO INDAIATUBANA DE EDUCACAO E CULTURA;54.675.103/0001-80;Pessoa Jurídica de Direito Público - Municipal;24462;CENTRO DE EDUCAÇÃO TECNOLÓGICO DA FUNDAÇÃO INDAIATUBANA DE EDUCAÇÃO E CULTURA (FIEC);FIEC;19 3801-8688;www.fiec.com.br;academica@fiec.com.br;Avenida Engenheiro Fábio Roberto Barnabé - - CEP: 13349-003 - Jardim Regina;Indaiatuba;SP;Faculdade;Presencial - Superior;Publica;Pública Municipal;04/06/2015;-;;-;;-;;;;;Ativa
17020;PROCEP - CENTRO DE ENSINO E PESQUISA;39.420.179/0001-71;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;22930;Centro de Ensino e Pesquisa do Pró-Cardíaco (Procep);Procep;21 97273-1715;https://procepi.com.br/;procepi@procepi.com.br regulatorio@procepi.com.br;Avenida Roberto Silveira - 123 - CEP: 24230-150 - Icaraí;;;Instituição Especialmente Credenciada para oferta de cursos lato sensu;;Privada;Privada sem fins lucrativos;20/06/2005;-;;-;;-;;;;;Ativa
1002;CESUL - CENTRO SULAMERICANO DE ENSINO SUPERIOR LTDA - EPP;02.756.462/0001-69;Privada com fins lucrativos;1523;Centro de Ensino Superior CESUL (CESUL);CESUL;(46) 3524 4242;www.cesul.br;secretaria@cesul.br;Avenida Antônio de Paiva Cantelmo - 1222 - CEP: 85601-970 - CENTRO;Francisco Beltrão;PR;Faculdade;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;02/06/2000;5;2024;4;2021;4;2023;;;;Ativa
16817;SOCIEDADE EDUCACIONAL SANTO ANTONIO LTDA;19.498.813/0001-81;Privada com fins lucrativos;23973;Centro de Ensino Superior de Altamira;-;(31) 99196.7974;;deboraguerra@me.com niube@triventoeducacao.com.br;Avenida Novo Horizonte - 783 - CEP: 68378-320 - Cidade Nova;Altamira;PA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;28/06/2021;4;2020;-;;-;;;;Unificação de Mantidas;Ativa
57;AUTARQUIA DE ENSINO SUPERIOR DE ARCOVERDE;11.462.454/0001-09;Pessoa Jurídica de Direito Público - Municipal;73;CENTRO DE ENSINO SUPERIOR DE ARCOVERDE (CESA);CESA;(87)3821-0644 / (87)9927-4392;www.aesa-cesa.br;direcaocesa@hotmail.com;Rua Gumercindo Cavalcanti - 420 - CEP: 56512-902 - SÃO CRISTOVÃO;Arcoverde;PE;Faculdade;Presencial - Superior;Publica;Especial;07/08/1969;-;;-;;2;2023;;;;Ativa
19622;CESBA - CENTRO DE ENSINO SUPERIOR DE BACABEIRA LTDA;19.935.786/0001-67;Privada com fins lucrativos;19842;CENTRO DE ENSINO SUPERIOR DE BACABEIRA (CESBA);CESBA;(98)3346-1042;;nubiaetecba@hotmail.com;Rua dos bacurizeiros, bairro nova bacabeira - Bacabeira - Maranhão - 13 - CEP: 65143-970 - Centro;Bacabeira;MA;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;05/11/2018;4;2024;-;;-;;;;;Ativa
77;FUNDACAO MUNICIPAL DE ENSINO SUPERIOR DE CONS LAFAIETE;19.722.313/0001-81;Privada sem fins lucrativos;3488;Centro de Ensino Superior de Conselheiro Lafaiete (CES-CL);CES-CL;31 3761-2223;www.ces-cl.edu.br;fecon@fecon.edu.br;Rua Lopes Franco - 1001 - CEP: 36400-000 - Carijós;Conselheiro Lafaiete;MG;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;10/05/2000;3;2015;-;;3;2023;;;;Ativa
14298;IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A;08.446.503/0001-05;Privada com fins lucrativos;23164;Centro de Ensino Superior de Divinópolis;-;(31) 3319-9226;;regulatorio@animaeducacao.com.br;Rua Coronel João Notini - 151 - CEP: 35500-017 - Centro;Divinópolis;MG;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;04/07/2019;5;2024;-;;2;2023;;;;Ativa
1804;CESUPI CENTRO DE ENSINO SUPERIOR DE ILHEUS LTDA - ME;04.245.712/0001-21;Privada com fins lucrativos;2771;CENTRO DE ENSINO SUPERIOR DE ILHÉUS (CESUPI);CESUPI;(73) 2101-1700;www.faculdadedeilheus.com.br;milanesi@faculdadedeilheus.com.br;Avenida Tancredo Neves - s/n - CEP: 45655-120 - São Francisco;Ilhéus;BA;Faculdade;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;19/07/2002;4;2024;4;2019;3;2023;;;Unificação de Mantidas;Ativa
511;ASSOCIACAO JATAIENSE DE EDUCACAO;00.079.285/0001-06;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;755;CENTRO DE ENSINO SUPERIOR DE JATAÍ (CESUT);CESUT;(64) 2102-1050;www.cesut.edu.br;fundacaojustus@gmail.com;Rua Santos Dumont - 1.200 - CEP: 75804-045 - Setor Oeste;Jataí;GO;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;13/03/1985;3;2025;-;;2;2023;;;;Ativa
16817;SOCIEDADE EDUCACIONAL SANTO ANTONIO LTDA;19.498.813/0001-81;Privada com fins lucrativos;24024;Centro de Ensino Superior de Lorena;-;(12) 99620.3344;;niube@triventoeducacao.com.br;Estrada Chiquito de Aquino - 46 - CEP: 12612-550 - Santa Lucrécia;Lorena;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;03/09/2020;4;2020;-;;3;2023;;;Unificação de Mantidas;Ativa
3172;INSTITUTO TOCANTINENSE DE EDUCACAO SUPERIOR E PESQUISA LTDA - ME;07.919.717/0001-80;Privada com fins lucrativos;21892;CENTRO DE ENSINO SUPERIOR DE PALMAS (CESUP);CESUP;(63)99282-1986;www.cesup.edu.br;munizap@hotmail.comproreitoriagraduacao@unitop.edu.brgildasio@lupa-rj.com.br;Quadra 1102 Sul Avenida Joaquim Teotônio Segurado - s/n - CEP: 77024-002 - Plano Diretor Sul;Palmas;TO;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;23/05/2018;3;2023;-;;2;2023;;;Unificação de Mantidas;Ativa
16817;SOCIEDADE EDUCACIONAL SANTO ANTONIO LTDA;19.498.813/0001-81;Privada com fins lucrativos;24025;Centro de Ensino Superior de Serra Dourada;-;(12) 999620.3344;;niube@triventoeducacao.com.br;Estrada Chiquito de Aquino - 46 - CEP: 12612-550 - Santa Lucrécia;Lorena;SP;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;31/12/2020;4;2019;-;;3;2023;;;Unificação de Mantidas;Ativa
14298;IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A;08.446.503/0001-05;Privada com fins lucrativos;23178;Centro de Ensino Superior de Sete Lagoas;-;;;regulatorio@animaeducacao.com.br;Avenida Secretário Divino Padrão - 1411 - CEP: 35702-075 - Santo Antônio;Sete Lagoas;MG;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;04/07/2019;5;2019;-;;3;2023;;;;Ativa
794;UNIAO CAPIXABA DE ENSINO SUPERIOR - UCES LTDA;36.347.508/0001-08;Privada com fins lucrativos;1159;CENTRO DE ENSINO SUPERIOR DE VITÓRIA (CESV);CESV;(27) 3041 0111;cesv.br;recenseadorcesv@gmail.com;Rua Doutor Eurico de Aguiar - 1003 - CEP: 29056-205 - Santa Lúcia;Vitória;ES;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;29/07/1998;3;2015;-;;2;2023;;;;Ativa
600;ASSOCIACAO AMAPAENSE DE ENSINO E CULTURA;04.661.922/0001-09;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;861;CENTRO DE ENSINO SUPERIOR DO AMAPÁ (CEAP);CEAP;(96) 3261 2133 / (96)98133-0129;www.ceap.br;ceap@ceap.br;Rodovia de Duca Serra - s/n - CEP: 68906-698 - Alvorada;Macapá;AP;Faculdade;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;18/01/1990;4;2023;4;2022;3;2023;;;;Ativa
505;ASSOCIACAO PIAUIENSE DE EDUCACAO E CULTURA LTDA - APEC;05.804.208/0001-87;Privada com fins lucrativos;749;CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA (CESVALE);CESVALE;(86) 22220050;https://cesvale.edu.br/;airton@cesvale.com.br, eduardocosta@cesvale.com.br;Avenida Ininga - 1201 - CEP: 64048-971 - Jockey Club;Teresina;PI;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;10/07/1985;4;2021;-;;4;2023;;;;Ativa
446;AUTARQUIA BELEMITA DE CULTURA DESPORTOS E EDUCACAO;10.264.877/0001-43;Pessoa Jurídica de Direito Público - Municipal;674;CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO (CESVASF);CESVASF;(87)38761248;www.cesvasf.com.br;secretaria@cesvasf.com.br;BR 316 - Campus Alto do Encanto - s/n - CEP: 56440-000 - Nova Olinda;Belém de São Francisco;PE;Faculdade;Presencial - Superior;Publica;Especial;15/03/1975;-;;-;;3;2023;;;;Ativa
15927;SOCIEDADE EDUCACIONAL SARANDI LTDA;17.000.211/0001-27;Privada com fins lucrativos;18034;Centro de Ensino Superior Riograndense (CESURG);CESURG;543460-1000;www.cesurg.com.br;sec@cesurg.com;Rodovia Governador Leonel de Moura Brizola - KM 138 - CEP: 99560-000 - Linha Beira Campo;Sarandi;RS;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;22/06/2016;5;2022;-;;3;2023;;;;Ativa
3052;BRASIL EDUCACAO S/A;05.648.257/0001-78;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;23358;Centro de Ensino Superior SOCIESC de Jaraguá do Sul;-;3 133 199 226;;regulatorio@animaeducacao.com.br;Avenida Getúlio Vargas - 268 - CEP: 89251-000 - Centro;Jaraguá do Sul;SC;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;21/08/2020;4;2024;-;;3;2023;;;;Ativa
2559;CEUMA-ASSOCIACAO DE ENSINO SUPERIOR;23.689.763/0001-97;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;15508;Centro de Ensino Unificado do Piauí (CEUPI);CEUPI;(86)98884-9776(86);www.ceupi.com.br;pesquisador@ceuma.brntae@ceuma.brmantenedora@ceuma.br;Rua Durvalino Couto - 1220 - CEP: 64049-120 - Jockey Club;Teresina;PI;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;04/01/2012;3;2023;-;;4;2023;;;;Ativa
409;COMANDO DO EXERCITO;00.394.452/0001-03;Pessoa Jurídica de Direito Público - Federal;21414;Centro de Estudos de Pessoal e Forte Duque de Caxias (CEP);CEP;;www.cep.ensino.eb.br;divens_secretaria@cep.ensino.eb.br;Praça Almirante Júlio de Noronha - SN - CEP: 22010-020 - Leme;Rio de Janeiro;RJ;Instituição Especialmente Credenciada para oferta de cursos lato sensu;Presencial - Superior;Publica;Pública Federal;14/11/2000;-;;-;;-;;;;;Ativa
18582;PROCURADORIA GERAL DE JUSTICA DO ESTADO DE MATO GROSSO;14.921.092/0001-57;Pessoa Jurídica de Direito Público - Estadual;29079;Centro de Estudos e Aperfeiçoamento Funcional (CEAF);CEAF;6536110665;;ceaf@mpmt.mp.br;Av Desembargador Milton Figueiredo Ferreira Mendes sn Setor D sede das Promotorias da Capital - 0 - CEP: 78049-928 - Centro Político Administrativo;;;Escola de Governo;Escola do Governo;Publica;Pública Estadual;13/12/2021;-;;-;;-;;;;;Ativa
