NOME-INSTITUICAO-EMPRESA,QUANTIDADE
UNIVERSIDADE FEDERAL DE LAVRAS,978
UNIVERSIDADE FEDERAL DO RIO GRANDE,847
UNIVERSIDADE ESTADUAL DO OESTE DO PARANA,839
UNIVERSIDADE DO ESTADO DA BAHIA,818
UNIVERSIDADE FEDERAL DO ABC,815
UNIVERSIDADE FEDERAL DE OURO PRETO,813
INSTITUTO FEDERAL DE SAO PAULO,786
UNIVERSIDADE DO ESTADO DE SANTA CATARINA,762
PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO,738
UNIVERSIDADE FEDERAL DO PAMPA,719
UNIVERSIDADE ESTADUAL DO CEARA,639
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,634
UNIVERSIDADE FEDERAL DE SAO JOAO DEL-REI,621
UNIVERSIDADE DE PERNAMBUCO,619
UNIVERSIDADE ESTADUAL DE PONTA GROSSA,610
UNIVERSIDADE FEDERAL DO TOCANTINS,609
UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,606
UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,602
UNIVERSIDADE DO ESTADO DE MINAS GERAIS,574
UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,574
UNIVERSIDADE ESTADUAL DA PARAIBA,559
UNIVERSIDADE ESTADUAL DE SANTA CRUZ,556
PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL,544
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO GRANDE DO SUL",540
PONTIFICIA UNIVERSIDADE CATOLICA DE SAO PAULO,539
UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,532
UNIVERSIDADE ESTADUAL DE GOIAS,515
UNIVERSIDADE PRESBITERIANA MACKENZIE,512
INSTITUTO FEDERAL DO PARANA,509
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,508
UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,507
UNIVERSIDADE ESTADUAL DO CENTRO-OESTE,506
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO ESPIRITO SANTO",504
UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,500
INSTITUTO FEDERAL DE SANTA CATARINA,500
UNIVERSIDADE DO ESTADO DE MATO GROSSO,490
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI - CAMPUS JK,486
UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO,481
UNIVERSIDADE FEDERAL DE ALFENAS,479
UNIVERSIDADE FEDERAL DE RONDONIA,470
UNIVERSIDADE DO ESTADO DO AMAZONAS,469
PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA,461
UNIVERSIDADE DO ESTADO DO PARA,460
UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,449
UNIVERSIDADE ESTADUAL DO MARANHAO,447
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS,443
UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,442
UNIVERSIDADE FEDERAL DE ITAJUBA,441
PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS,439
UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,436
UNIVERSIDADE ESTADUAL DE MONTES CLAROS,434
INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,421
UNIVERSIDADE FEDERAL DO ACRE,409
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",389
UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,389
UNIVERSIDADE DO VALE DO RIO DOS SINOS,367
CENTRO NACIONAL DE PESQUISA EM ENERGIA E MATERIAIS,365
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO DE JANEIRO",350
UNIVERSIDADE FEDERAL DO OESTE DO PARA,350
UNIVERSIDADE FEDERAL DE RORAIMA,343
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA CELSO SUCKOW DA FONSECA,340
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE GOIAS",333
HOSPITAL DE CLINICAS DE PORTO ALEGRE,324
UNIVERSIDADE ESTADUAL DO PIAUI,316
UNIVERSIDADE FEDERAL DO AMAPA,313
INSTITUTO FEDERAL CATARINENSE,312
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA PARAIBA - IFPB",303
INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA,301
INSTITUTO NACIONAL DE CANCER,295
FUNDACAO GETULIO VARGAS,291
UNIVERSIDADE DE FORTALEZA,289
UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,288
UNIVERSIDADE DE CAXIAS DO SUL,284
UNIVERSIDADE REGIONAL DO CARIRI,281
UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA,281
INSTITUTO FEDERAL DO MARANHAO,280
INSTITUTO FEDERAL DO CEARA,276
UNIVERSIDADE ESTADUAL DO PARANA,276
INSTITUTO FEDERAL  MINAS GERAIS,274
INSTITUTO TECNOLOGICO DE AERONAUTICA,273
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PARA",272
INSTITUTO FEDERAL GOIANO,270
UNIVERSIDADE PAULISTA,263
FUNDACAO UNIVERSIDADE FEDERAL DE CIENCIAS DA SAUDE DE PORTO ALEGRE,260
UNIVERSIDADE DO VALE DO ITAJAI,258
INSTITUTO FEDERAL DA BAHIA,254
UNIVERSIDADE DA INTEGRACAO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,253
INSTITUTO FEDERAL FARROUPILHA,252
INSTITUTO BUTANTAN,250
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA BAIANO",239
INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE MATO GROSSO,237
COMISSAO NACIONAL DE ENERGIA NUCLEAR,235
INSTITUTO FEDERAL DO PIAUI,231
INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE RONDONIA,230
CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,229
UNIVERSIDADE NOVE DE JULHO,224
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO TOCANTINS",224
UNIVERSIDADE DE PASSO FUNDO,223
FUNDACAO UNIVERSIDADE REGIONAL DE BLUMENAU,220
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",217
PONTIFICIA UNIVERSIDADE CATOLICA DE GOIAS,216
UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,215
PONTIFICIA UNIVERSIDADE CATOLICA DE CAMPINAS,215
INSTITUTO FEDERAL FLUMINENSE,204
CONSULTORIO PARTICULAR,203
UNIVERSIDADE FEDERAL DO CARIRI,201
UNIVERSIDADE ESTADUAL DO NORTE DO PARANA,201
UNIVERSIDADE FEDERAL DO SUL DA BAHIA,199
INSTITUTO FEDERAL DO TRIANGULO MINEIRO,194
UNIVERSIDADE DO OESTE PAULISTA,194
INSTITUTO FEDERAL SUL-RIO-GRANDENSE,193
UNIVERSIDADE FEDERAL DE CATALAO,187
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE MATO GROSSO DO SUL",187
INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS,178
UNIVERSIDADE DO EXTREMO SUL CATARINENSE,176
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAZONAS",175
UNIVERSIDADE ESTACIO DE SA,174
INSTITUTO FEDERAL DE PERNAMBUCO,173
COLEGIO PEDRO II,172
INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS,169
UNIVERSIDADE DO OESTE DE SANTA CATARINA,162
INSTITUTO FEDERAL DE BRASILIA,161
UNIVERSIDADE FEDERAL DE JATAI,159
MINISTERIO DA SAUDE,158
UNIVERSIDADE CATOLICA DE PERNAMBUCO,157
UNIVERSIDADE ESTADUAL VALE DO ACARAU,155
UNIVERSIDADE FEEVALE,154
UNIVERSIDADE FEDERAL DE RONDONOPOLIS,154
UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSOES,153
UNIVERSIDADE DE SANTA CRUZ DO SUL,152
INSTITUTO MILITAR DE ENGENHARIA,152
FACULDADE DE MEDICINA DA UNIVERSIDADE DE SAO PAULO,146
UNIVERSIDADE CATOLICA DE BRASILIA,145
UNIVERSIDADE ESTADUAL PAULISTA,143
INSTITUTO FEDERAL DE SERGIPE,142
UNIVERSIDADE FRANCISCANA,140
UNIVERSIDADE DO VALE DO TAQUARI - UNIVATES,137
FACULDADE DE MEDICINA DE SAO JOSE DO RIO PRETO,137
UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,137
FACULDADE DE CIENCIAS MEDICAS DA SANTA CASA DE SAO PAULO,134
INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO,132
INSTITUTO DE PESQUISAS ENERGETICAS E NUCLEARES,129
HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DA UNIVERSIDADE DE SAO PAULO,127
INSTITUTO FEDERAL DE ALAGOAS,126
INSTITUTO EVANDRO CHAGAS,125
UNIVERSIDADE LUTERANA DO BRASIL,124
UNIVERSIDADE DA REGIAO DE JOINVILLE,119
UNIVERSIDADE DE TAUBATE,118
UNIVERSIDADE DE RIBEIRAO PRETO,117
UNIVERSIDADE DO SUL DE SANTA CATARINA,117
CENTRO BRASILEIRO DE PESQUISAS FISICAS,116
MUSEU PARAENSE EMILIO GOELDI,114
UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,113
INSTITUTO AGRONOMICO DE CAMPINAS,112
EMPRESA DE PESQUISA AGROPECUARIA E EXTENSAO RURAL DE SANTA CATARINA,112
EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS,112
UNIVERSIDADE POSITIVO,112
"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",108
UNIVERSIDADE TIRADENTES,108
UNIVERSIDADE SAO FRANCISCO,107
UNIVERSIDADE CEUMA,103
PETROLEO BRASILEIRO - RIO DE JANEIRO - MATRIZ,99
INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,99
UNIVERSIDADE DO VALE DO PARAIBA,98
UNIVERSIDADE COMUNITARIA DA REGIAO DE CHAPECO,96
UNIVERSIDADE VILA VELHA,96
INSTITUTO ADOLFO LUTZ,96
UNIVERSIDADE DE UBERABA,95
UNIVERSIDADE CRUZEIRO DO SUL,94
ESCOLA BAHIANA DE MEDICINA E SAUDE PUBLICA,94
UNIVERSIDADE DE RIO VERDE,93
INSTITUTO DE PESQUISAS TECNOLOGICAS DO ESTADO DE SAO PAULO,93
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,92
UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS,90
INSTITUTO ISRAELITA DE ENSINO E PESQUISA ALBERT EINSTEIN,89
UNIVERSIDADE DE SOROCABA,89
FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA,88
UNIVERSIDADE ANHEMBI MORUMBI,88
CONSULTORIO MEDICO,88
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA",87
INSPER INSTITUTO DE ENSINO E PESQUISA,87
UNIVERSIDADE CATOLICA DOM BOSCO,87
UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA,86
UNIVERSIDADE DO ESTADO DO AMAPA,86
UNIVERSIDADE MUNICIPAL DE SAO CAETANO DO SUL,85
FACULDADE DE ODONTOLOGIA DE BAURU - USP,85
FUNDACAO GETULIO VARGAS - SP,84
UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO,84
UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE ALAGOAS,84
UNIVERSIDADE DE FRANCA,82
HOSPITAL SIRIO-LIBANES,80
UNIVERSIDADE ESTADUAL DE ALAGOAS,79
UNIVERSIDADE DE MARILIA,79
INSTITUTO DE PESQUISA JARDIM BOTANICO DO RIO DE JANEIRO,79
HOSPITAL ISRAELITA ALBERT EINSTEIN,79
CONSULTORIO,78
FACULDADE DE MEDICINA DO ABC,78
SECRETARIA DE EDUCACAO DO ESTADO DA BAHIA,77
UNIVERSIDADE DE ARARAQUARA,76
LABORATORIO NACIONAL DE COMPUTACAO CIENTIFICA,76
OBSERVATORIO NACIONAL,75
UNIVERSIDADE CIDADE DE SAO PAULO,74
INSTITUTO NACIONAL DE TECNOLOGIA,74
UNIVERSIDADE PARANAENSE,74
AGENCIA PAULISTA DE TECNOLOGIA DOS AGRONEGOCIOS,73
FUNDACAO EDUCACIONAL INACIANA PADRE SABOIA DE MEDEIROS,73
UNIVERSIDADE DE SANTO AMARO,72
UNIVERSIDADE DO GRANDE RIO,72
"FACULDADE DE ECONOMIA, ADMINISTRACAO E CONTABILIDADE - USP",70
UNIVERSIDADE DA AMAZONIA,70
INSTITUTO DE PESQUISA ECONOMICA APLICADA - DF,70
INSTITUTO DE DESENVOLVIMENTO RURAL DO PARANA,69
PREFEITURA DA CIDADE DO RIO DE JANEIRO,69
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO",69
CENTRO UNIVERSITARIO ADVENTISTA DE SAO PAULO,68
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,68
UNIVERSIDADE VEIGA DE ALMEIDA,68
PREFEITURA MUNICIPAL DE SAO PAULO,67
UNIVERSIDADE SAO JUDAS TADEU,67
HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DA USP,66
CONSULTORIO ODONTOLOGICO,66
INSTITUTO FEDERAL DO ACRE,66
FUNDACAO ANTONIO PRUDENTE,66
CENTRO UNIVERSITARIO DE BRASILIA,66
UNIVERSIDADE CATOLICA DE PELOTAS,65
INSTITUTO TECNOLOGICO VALE,65
UNIVERSIDADE SANTA CECILIA,64
UNIVERSIDADE ESTADUAL DO TOCANTINS,64
ESCOLA SUPERIOR DE AGRICULTURA LUIZ DE QUEIROZ,64
UNIVERSIDADE EVANGELICA DE GOIAS,63
UNIVERSIDADE NORTE DO PARANA,63
UNIVERSIDADE DE VASSOURAS,63
CENTRO UNIVERSITARIO DE VOLTA REDONDA,63
UNIVERSIDADE ESTADUAL DE RORAIMA,62
UNIVERSIDADE DE MOGI DAS CRUZES,62
INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO CEARA,62
SECRETARIA DE EDUCACAO DO ESTADO DO PARANA,61
UNIVERSIDADE SALGADO DE OLIVEIRA,61
UNIVERSIDADE JOSE DO ROSARIO VELLANO,61
UNIVERSIDADE TUIUTI DO PARANA,61
CENTRO DE ENSINO SUPERIOR DE MARINGA,61
UNIVERSIDADE CATOLICA DE SANTOS,61
INSTITUTO BIOLOGICO,60
FUNDACAO EZEQUIEL DIAS,60
PREFEITURA MUNICIPAL DE CURITIBA,59
EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,59
INSTITUTO FEDERAL DO AMAPA,58
FUNDACAO DE APOIO A ESCOLA TECNICA DO ESTADO DO RIO DE JANEIRO,57
CENTRO UNIVERSITARIO CHRISTUS,57
TRIBUNAL DE JUSTICA DO ESTADO DE SAO PAULO,56
ATITUS EDUCACAO,56
INSTITUTO NACIONAL DE MATEMATICA PURA E APLICADA,56
CENTRO UNIVERSITARIO CESMAC,56
INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA,56
CENTRO UNIVERSITARIO SAO CAMILO,55
ESCRITORIO DE ADVOCACIA,55
UNIVERSIDADE METROPOLITANA DE SANTOS,55
UNIVERSIDADE BRASIL,55
INSTITUTO DE MEDICINA INTEGRAL PROFESSOR FERNANDO FIGUEIRA,55
INSTITUTO MAUA DE TECNOLOGIA,53
INSTITUTO DE PESQUISAS AMBIENTAIS,52
GOVERNO DO ESTADO DE SAO PAULO,52
FORCA AEREA BRASILEIRA,51
INSTITUTO FEDERAL DE RORAIMA,51
SECRETARIA MUNICIPAL DE EDUCACAO,51
CENTRO UNIVERSITARIO DE PATOS DE MINAS,50
CENTRO UNIVERSITARIO HERMINIO OMETTO DE ARARAS,50
UNIVERSIDADE ESTADUAL DA REGIAO TOCANTINA DO MA,49
DEPARTAMENTO DE POLICIA FEDERAL,49
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA BAHIA",49
SENAI - DEPARTAMENTO REGIONAL DA BAHIA,49
CAMARA DOS DEPUTADOS,48
CENTRO NACIONAL DE MONITORAMENTO E ALERTAS DE DESASTRES NATURAIS,48
CENTRO DE TECNOLOGIA DA INFORMACAO RENATO ARCHER,47
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO MARANHAO",47
FACULDADE DE MEDICINA DE MARILIA,46
SECRETARIA DE ESTADO DE EDUCACAO DO ESTADO DO MATO GROSSO,46
UNIVERSIDADE SALVADOR,46
UNIVERSIDADE LA SALLE - CANOAS,46
UNIVERSIDADE IGUACU,46
CENTRO DE PESQUISA E DESENVOLVIMENTO LEOPOLDO AMERICO MIGUEZ DE MELLO,46
ADVOCACIA-GERAL DA UNIAO,46
"UNIVERSIDADE FEDERAL DE SAO PAULO, CAMPUS DIADEMA",46
SECRETARIA DE ESTADO DE EDUCACAO,46
EXERCITO BRASILEIRO,45
PREFEITURA MUNICIPAL DE FORTALEZA,45
CENTRO UNIVERSITARIO SAGRADO CORACAO,45
CENTRO UNIVERSITARIO UNINTA,45
INSTITUTO NACIONAL DE EDUCACAO DE SURDOS,44
CENTRO DE PESQUISAS DE ENERGIA ELETRICA,44
UNIVERSIDADE VALE DO RIO DOCE,44
MINISTERIO PUBLICO FEDERAL,44
INSTITUTO DO CANCER DO ESTADO DE SAO PAULO,43
CENTRO UNIVERSITARIO SENAC,43
CENTRO UNIVERSITARIO INGA,43
FACULDADE DE MEDICINA DE RIBEIRAO PRETO DA UNIVERSIDADE DE SAO PAULO,43
PREFEITURA MUNICIPAL DE FLORIANOPOLIS,43
UNIVERSIDADE POTIGUAR,43
UNIVERSIDADE METODISTA DE SAO PAULO,42
"INSTITUTO CAPIXABA DE PESQUISA, ASSISTENCIA TECNICA E EXTENSAO RURAL",42
CENTRO UNIVERSITARIO SENAI CIMATEC,42
FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA,41
"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",41
UNIVERSIDADE CATOLICA DE PETROPOLIS,41
CENTRO UNIVERSITARIO DAS FACULDADES METROPOLITANAS UNIDAS,41
PREFEITURA MUNICIPAL DE PORTO ALEGRE,41
INSTITUTO DE TECNOLOGIA DE ALIMENTOS,41
SECRETARIA DE EDUCACAO DO DISTRITO FEDERAL,40
GOVERNO DO ESTADO DO RIO GRANDE DO SUL,40
MARINHA DO BRASIL,40
FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS,40
PREFEITURA MUNICIPAL DE BELO HORIZONTE,40
HOSPITAL MOINHOS DE VENTO,40
CENTRO UNIVERSITARIO DO ESTADO DO PARA,40
COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,39
BANCO CENTRAL,39
UNIVERSITY OF FLORIDA,39
SECRETARIA DE ESTADO DA EDUCACAO,39
INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,39
INSTITUTO DO CORACAO,39
CENTRO UNIVERSITARIO DE MARINGA,39
INSTITUTO DE BOTANICA,39
DEPARTAMENTO DE CIENCIA E TECNOLOGIA AEROESPACIAL,39
UNIVERSIDADE FEDERAL DE CIENCIAS DA SAUDE DE PORTO ALEGRE,39
SANTA CASA DE MISERICORDIA DE SAO PAULO,38
FUNDACAO JOAO PINHEIRO,38
UNIVERSIDADE DE CRUZ ALTA,38
CENTRO UNIVERSITARIO BARAO DE MAUA - JARDIM PAULISTA,38
SECRETARIA DE EDUCACAO DO ESTADO DE SANTA CATARINA,38
INSTITUTO DE ZOOTECNIA DO GOVERNO DO ESTADO DE SAO PAULO,38
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA SUL-RIO-GRANDENSE",37
UNIVERSIDADE CATOLICA DO SALVADOR,37
UNIVERSIDADE DE COIMBRA,37
SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FEDERAL,37
INSTITUTO NACIONAL DE TELECOMUNICACOES,37
SECRETARIA DA EDUCACAO BASICA DO CEARA,37
FUNDACAO PIO XII,36
UNIVERSIDADE DE CUIABA,36
INSTITUTO FEDERAL DO ESPIRITO SANTO,36
UNIVERSIDADE DO MINHO,35
INSTITUTO D'OR DE PESQUISA E ENSINO,35
SECRETARIA ESTADUAL DE EDUCACAO,35
CENTRO DE TECNOLOGIA MINERAL,35
INSTITUTO DE DESENVOLVIMENTO SUSTENTAVEL MAMIRAUA,35
UNIVERSIDADE FUMEC,35
INSTITUTO AGRONOMICO DE PERNAMBUCO,35
FUNDACAO HEMOCENTRO DE RIBEIRAO PRETO,35
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO",35
INSTITUTO DE ESTUDOS AVANCADOS,35
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE MATO GROSSO",34
UNIVERSIDADE DO CONTESTADO,34
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO ESTADO DO PARA",34
INSTITUTO DE TECNOLOGIA E PESQUISA,34
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA",34
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGI",34
INSTITUTO NACIONAL DA MATA ATLANTICA,33
FMVZ-UNESP-BOTUCATU SP,33
INSTITUTO DE PESQUISAS CIENTIFICAS E TECNOLOGICAS DO ESTADO DO AMAPA,33
FUNDACAO DE MEDICINA TROPICAL DOUTOR HEITOR VIEIRA DOURADO,32
FACULDADE DE ODONTOLOGIA DA UNIVERSIDADE DE SAO PAULO,32
INSTITUTO BENJAMIN CONSTANT,32
FACULDADE DE MEDICINA DE JUNDIAI,32
COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR,32
FACULDADES DE ENFERMAGEM NOVA ESPERANCA,32
FACULDADE DE MEDICINA DE RIBEIRAO PRETO,32
INSTITUTO DE ESTUDOS DO MAR ALMIRANTE PAULO MOREIRA,32
UNIVERSIDADE DO VALE DO SAPUCAI,32
CENTRO UNIVERSITARIO SERRA DOS ORGAOS,31
UNIVERSIDADE DE LISBOA,31
UNIVERSIDADE METODISTA DE PIRACICABA,31
FACULDADE DE MEDICINA DA USP,31
FUNDACAO JOAQUIM NABUCO,31
"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",31
CENTRO DE DESENVOLVIMENTO DA TECNOLOGIA NUCLEAR,30
INSTITUTO FEDERAL DO CEARA - CAMPUS TIANGUA,30
INSTITUTO BRASILEIRO DE INFORMACAO EM CIENCIA E TECNOLOGIA,30
ESCOLA SUPERIOR DE CIENCIAS DA SANTA CASA DE MISERICORDIA DE VITORIA,30
CENTRO UNIVERSITARIO DINAMICA DAS CATARATAS,30
PREFEITURA MUNICIPAL DE CAMPINAS,29
UNIVERSIDADE ANHANGUERA DE SAO PAULO,29
CENTRO UNIVERSITARIO DE LAVRAS,29
PREFEITURA MUNICIPAL DE SALVADOR,29
ESCOLA POLITECNICA DA UNIVERSIDADE DE SAO PAULO,29
UNIVERSIDADE DO PLANALTO CATARINENSE,29
UNIVERSIDADE DE GUARULHOS,29
S B I,28
SECRETARIA DA EDUCACAO DO ESTADO DO CEARA,28
CENTRO UNIVERSITARIO AUGUSTO MOTTA,28
TRIBUNAL DE JUSTICA DO ESTADO DE GOIAS,28
"SECRETARIA DA AGRICULTURA, PECUARIA E IRRIGACAO/RS",28
UNIVERSIDADE DE AVEIRO,28
HOSPITAL NOSSA SENHORA DA CONCEICAO,28
GOVERNO DO ESTADO DE PERNAMBUCO,28
FACULDADES INTEGRADAS DE PATOS,28
FACULDADE DE CIENCIAS MEDICAS DE MINAS GERAIS,27
MINISTERIO DA EDUCACAO,27
CENTRO UNIVERSITARIO NEWTON PAIVA,27
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA CATARINENSE",27
FACULDADE EVANGELICA MACKENZIE DO PARANA,27
FUNDACAO FACULDADE DE MEDICINA,27
FACULDADE DE CIENCIAS MEDICAS E DA SAUDE DE JUIZ DE FORA,27
SECRETARIA DE EDUCACAO DE PERNAMBUCO,27
INSTITUTO DE PESCA,27
UNIVERSIDADE ESTADUAL DA REGIAO TOCANTINA DO MARANHAO,27
EMBRAER,27
HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE RIBEIRAO PRETO,26
PREFEITURA MUNICIPAL DE VITORIA,26
CENTRO UNIVERSITARIO DO ESPIRITO SANTO,26
